,naive,recursive,semantic
Content,0.3461974275910756,0.3530514180380571,0.3563695078060251
Prefix-Fusion,0.3689194366076517,0.35760678755478337,0.3771883425802928
TF-IDF,0.3580944694677994,0.3585269335984439,0.3566468592810772
