chunking,content,prefix,tfidf
naive,0.20747611956280065,0.21035236700108537,0.197549937321933
recursive,0.1981321423806635,0.2072336926518599,0.20846055839969793
semantic,0.18906243881518997,0.20127855439056616,0.19831293549504816
